id,feature,category,moscow,description,source,status,notes
CMF-016,Guided interactive questions / chat-style prompts,Feature,Could,Chat-like UI where system asks targeted questions and user responds instead of single text dump. Similar to Claude/ChatGPT engagement pattern. Enhances user engagement and data quality for WHY extraction.,Voice memo 2026-02-27-19-01; PROJECT_LOG.md Feature Backlog,Open,V2 target — significant architectural change to intake flow
CMF-017,Skill graph visualization,Feature,Could,"Render skill_graph.py adjacency data visually in Streamlit. 79 nodes; color by candidate status (green=matched / yellow=inferred / red=missing); edge thickness=co-occurrence weight; click node to see roles. Options: streamlit-agraph (~20-30 lines) or pyvis (richer but needs components.html). Makes graph inference bugs immediately visible.",Voice memo — Feb 28 2026 (via PROJECT_LOG.md Feature Backlog),Open,"Data already built; pure UI layer. Neo4j overkill — 79 nodes, no persistent graph DB needed."
CMF-018,Visual polish (emojis / icons / colors),UX,Could,Add visual elements to candidate report: color-coded sections / icons / emojis / clear styled headings. Makes PDF and on-screen report more polished for sharing with others.,Voice memo 2026-02-27-19-01; PROJECT_LOG.md Feature Backlog,Open,Low effort if done during PDF export work; bundle with CMF-019 completed work
CMF-019,PDF export of results,Feature,Must,Styled 7-section candidate report downloadable as PDF. Download button in app.py alongside JSON export.,Voice memo 2026-02-27-19-01; PROJECT_LOG.md Feature Backlog,Done,Completed Session 9 (Mar 1 2026) via pdf_export.py
CMF-020,Role selection from predefined list,Feature,Could,"Rather than auto-generating roles, let users select from role_taxonomy.json list and compare fit across chosen roles. Reduces arbitrariness — 'why these roles' concern. Could complement auto-match as an alternative mode.",Voice memo 2026-02-28-16-33; PROJECT_LOG.md Feature Backlog,Open,V2 target — requires UI overhaul of role input flow
CMF-021,Streamlit settings page for tuning.yaml,Infrastructure,Could,GUI layer for adjusting tuning.yaml parameters (weights / thresholds / model selection) without editing YAML directly. Phase 2+ GUI target.,PROJECT_LOG.md Future Phases,Open,Useful for calibration work once prompt tuning is done
CMF-022,Phi-4 14B upgrade for reasoning tier,Infrastructure,Could,Upgrade role_comparator and gap_analyzer from qwen2.5:7b to phi4:14b as reasoning model. Single-line change in tuning.yaml + ollama pull phi4:14b. Research shows 14B-class models outperform 7B on structured reasoning.,PROJECT_LOG.md Future Phases; Session 2 Decision Log,Open,Upgrade path already documented in tuning.yaml; blocked on local VRAM availability
CMF-023,GitHub upload of CMF project for portfolio,Infrastructure,Could,Upload CMF engine code to GitHub as part of ongoing AI portfolio. Eventually feeds into personal website and LinkedIn.,Voice memo 2026-02-24-14-51,Done,Completed Mar 1 2026. Repo: https://github.com/nathanaeljyhlee/career-alignment. End-of-session push workflow documented in work-on/SKILL.md.
CMF-024,10x effectiveness research via Scite MCP,Research,Could,Use Scite MCP as primary research tool to brainstorm and evaluate approaches for 10x effectiveness improvement: more efficient agent layering / neural network integration / deterministic algorithm improvements / output relevance. North star = extremely relevant + useful + actionable output.,Voice memo 2026-02-28-12-14; ai-portfolio/active/current-priorities.md,Open,Fellowship P1 strategic priority — precedes architectural decisions for V2
CMF-025,Canvas integration,Feature,Won't,"Integrate Canvas LMS data as additional context for role matching. Deferred from Phase 1 in favor of skill extraction pipeline. Remains on radar for Phase 2+, but not active until MVP is validated.",PROJECT_LOG.md Decision Log (D5),Open,Explicitly deferred — revisit after MVP validation with real users
CMF-026,PRD update on Notion with architecture changes,Docs,Won't,8 architecture sections identified for Notion PRD update reflecting Sessions 2-8 changes. Useful for fellowship documentation but not blocking.,PROJECT_LOG.md Future Phases,Open,Revisit before sharing CMF with Phil Ahn or broader audience
CMF-027,Review latest_run.json on Nathanael's profile,Calibration,Won't,Run pipeline on Nathanael's own resume. Have Claude review quality of skill extraction / role fit rankings / gap analysis accuracy. Use as baseline for Agent 1-3 prompt tuning.,PROJECT_LOG.md Known Issues; Voice memo 2026-02-28-16-35,Open,CMF-001 and CMF-002 resolved (Session 10). Can now run after next successful pipeline run.
CMF-028,Expand job coverage data beyond O*NET,Data Quality,Should,Current role taxonomy (18 roles) and skill graph (98 skills) are grounded in O*NET which may not reflect 2026 MBA job market. Use Scite MCP to identify SOTA 2026 datasets for occupation/skill coverage — candidates from LinkedIn job postings / BLS / ONET 2024+ updates / Lightcast / Burning Glass. Evaluate which datasets best represent tech-adjacent MBA roles and update role_taxonomy.json and onet_skills.json.,User request Mar 1 2026 (inline message),Open,Research-first item: use Scite MCP to identify suitable data targets before any implementation. Pair with CMF-024 (10x effectiveness research).
